frame_id,channel,phy_x,phy_y
2752,front,-288.175171,158.662079
2753,front,-274.981201,157.742523
2754,front,-286.118256,170.662659
2755,front,-288.707642,177.308075
2756,front,-291.493561,184.259003
2757,front,-284.498016,183.457657
2758,front,-287.34671,190.638535
2759,front,-280.423645,189.766602
2761,front,-276.476898,196.253601
2762,front,-272.650543,202.938599
2763,front,-275.697235,210.931625
2764,front,-268.938141,209.843353
2765,front,-272.055573,218.154617
2766,front,-275.419739,226.933014
2767,front,-268.525024,225.648987
2768,front,-271.971985,234.80928
2769,front,-271.971985,234.80928
2770,front,-275.699646,244.523636
2771,front,-279.736023,254.850052
2772,front,-272.460785,253.19693
2773,front,-265.402557,251.602921
2774,front,-276.609955,264.037079
2775,front,-269.333893,262.285492
2776,front,-273.60321,273.689819
2777,front,-266.315796,271.834961
2778,front,-266.315796,271.834961
2779,front,-259.242279,270.046753
2780,front,-259.242279,270.046753
2781,front,-263.4039,281.897034
2782,front,-267.939423,294.608551
2783,front,-265.279816,306.001282
2784,front,-265.279816,306.001282
2785,front,-265.279816,306.001282
2786,front,-270.407135,320.537323
2787,front,-270.407135,320.537323
2788,front,-262.734772,318.11615
2789,front,-255.287918,315.785187
2790,front,-260.304535,331.042053
2791,front,-260.304535,331.042053
2792,front,-280.360046,368.799774
2793,front,-263.73468,362.652588
2794,front,-255.794724,359.756409
2795,front,-248.085739,356.971008
2796,front,-248.085739,356.971008
2797,front,-253.720947,375.806305
2798,front,-259.98233,396.485962
2799,front,-251.773254,393.197876
2800,front,-251.773254,393.197876
2801,front,-243.802246,390.038574
2802,front,-236.055786,387.001068
2803,front,-256.855957,436.609192
2804,front,-273.979034,468.305237
2805,front,-264.624695,463.896729
2807,front,-255.55809,459.672699
2808,front,-238.221634,451.739899
2809,front,-245.404678,480.827026
2810,front,-236.613449,476.640869
2811,front,-236.613449,476.640869
2812,front,-228.070251,472.627045
2813,front,-219.761795,468.778076
2814,front,-226.325485,500.0224
2815,front,-243.260254,540.369507
2816,front,-217.744553,495.86438
2817,front,-209.392807,491.879669
2818,front,-209.392807,491.879669
2819,front,-215.800507,526.219543
2820,front,-215.800507,526.219543
2821,front,-207.143127,521.901001
2822,front,-231.802063,610.63678
2823,front,-204.921738,555.805054
2824,front,-196.143921,551.307007
2825,front,-196.143921,551.307007
2826,front,-187.586304,547.004333
2827,front,-221.043457,305.334564
2828,front,-224.746155,319.55838
2829,front,-218.195038,317.503357
2830,front,-181.487946,628.318298
2831,front,-181.487946,628.318298
2832,front,-172.309753,623.394836
2833,front,-163.345993,618.701111
2834,front,-154.583267,614.227112
2835,front,-187.28717,336.08313
2836,front,-181.320312,334.154846
2837,front,-175.483414,332.292694
2838,front,-169.770615,330.494629
2839,front,-131.813751,654.282898
2840,front,-123.103493,650.059998
2841,front,-113.372139,594.847839
2842,front,-162.709152,360.196045
2843,front,-123.103493,650.059998
2844,front,-159.023315,376.9935
2845,front,-161.4095,397.61734
2846,front,-164.103439,420.436157
2847,front,-157.597046,417.932739
2848,front,-151.221771,415.524323
2849,front,-88.459671,765.055969
2850,front,-138.838593,410.979401
2851,front,-138.838593,410.979401
2852,front,-134.280716,432.980286
2853,front,-128.072952,430.7052
2854,front,-121.972786,428.520233
2855,front,-51.316456,749.539062
2856,front,-51.316456,749.539062
2857,front,-42.318855,746.291443
2858,front,-42.318855,746.291443
2859,front,-36.780865,829.831299
2860,front,-24.593435,740.506165
2861,front,-86.569397,442.499817
2862,front,-24.593435,740.506165
2863,front,-22.666834,670.511597
2864,front,-40.172287,568.474731
2865,front,-43.97081,527.419983
2866,front,-21.067314,612.354858
2867,front,-21.067314,612.354858
2868,front,-14.719414,668.413696
2869,front,-6.824596,666.494873
2870,front,-6.824596,666.494873
2871,front,-35.275864,488.75946
2872,front,-29.332788,487.382721
2873,front,-23.431585,486.095245
2874,front,-23.431585,486.095245
2875,front,-17.567785,484.896271
2876,front,-11.227476,452.143372
2877,front,0,0
2878,front,-5.935166,482.757629
2879,front,-0.158027,481.815491
2880,left,0,0
2881,left,0,0
2882,left,0,0
2883,left,0,0
2884,left,0,0
2885,left,0,0
2886,left,0,0
2887,front,0,0
2888,front,0,0
2889,front,0,0
2890,left,0,0
2891,left,0,0
2892,left,0,0
2893,left,0,0
2894,left,0,0
2895,left,0,0
2896,left,0,0
2897,left,0,0
2898,left,0,0
2899,left,0,0
2900,left,0,0
2901,left,0,0
2902,left,0,0
2903,left,0,0
2904,left,0,0
2905,left,0,0
2906,left,0,0
2907,left,0,0
2908,left,0,0
2909,left,0,0
2910,left,0,0
2911,left,0,0
2912,left,0,0
2913,left,0,0
2914,left,0,0
2915,left,0,0
2916,left,0,0
2917,left,0,0
2918,left,0,0
2919,left,0,0
2920,left,0,0
2921,left,0,0
2922,left,0,0
2923,left,0,0
2924,left,0,0
2925,left,0,0
2926,left,0,0
2927,left,0,0
2928,left,0,0
2929,left,0,0
2930,left,0,0
2931,left,0,0
2932,left,0,0
2933,left,0,0
2934,left,0,0
2935,left,0,0
2936,left,0,0
2937,left,0,0
2938,left,0,0
2939,left,0,0
2940,left,0,0
2941,left,0,0
2942,left,0,0
2943,left,0,0
2944,left,0,0
2945,left,0,0
2946,left,0,0
2947,left,0,0
2948,left,0,0
2949,left,0,0
2950,left,0,0
2951,left,0,0
2952,left,0,0
2953,left,0,0
2954,left,0,0
2955,left,0,0
2956,front,0,0
2957,front,0,0
2958,front,0,0
2959,front,0,0
2960,front,0,0
2961,front,0,0
2962,front,0,0
2963,front,0,0
2964,front,0,0
2965,left,0,0
2966,left,0,0
2967,left,0,0
2968,left,0,0
2969,front,0,0
2970,left,0,0
2971,left,0,0
2972,left,0,0
2973,left,0,0
2974,front,0,0
2975,front,0,0
2976,front,0,0
2977,left,0,0
2978,left,0,0
2979,left,0,0
2980,left,0,0
2991,front,0,0
2992,front,0,0
2993,front,0,0
2994,front,0,0
2995,front,0,0
2996,front,0,0
2997,front,0,0
2998,front,0,0
2999,front,0,0
3002,front,0,0
3004,left,0,0
3005,left,0,0
3006,left,0,0
3007,left,0,0
3008,left,0,0
3009,left,0,0
3010,left,0,0
3011,left,0,0
3012,left,0,0
3013,left,0,0
3014,left,0,0
3015,left,0,0
3016,left,0,0
3017,left,0,0
3018,left,0,0
3019,left,0,0
3020,left,0,0
3021,left,0,0
3022,left,0,0
3023,front,-241.930832,663.364929
3024,left,0,0
3025,left,0,0
3026,left,0,0
3027,left,0,0
3028,left,0,0
3029,left,0,0
3030,front,-223.194077,565.427246
3032,left,0,0
3033,front,-301.687836,903.934509
3034,left,0,0
3035,left,0,0
3036,left,0,0
3037,left,0,0
3038,left,0,0
3039,left,0,0
3040,front,-278.809753,742.36676
3042,front,-264.571808,677.500427
3043,front,-263.565338,629.285339
3044,front,-274.846039,636.118591
3045,front,-283.972961,562.452087
3046,front,-273.826385,593.687134
3047,front,-288.765259,693.112244
3048,front,-305.424591,760.877197
